ArticleItem;LT_Revision;Product Group;Installation;Optic;Beam & Material;Modulation;Power Supply;/;Lampcolor;Length;Light Direct;Light Indirect;Driver;Trough wiring;Colour;LLMF 50kh;Error Code;Luminous flux (lumen);Power (Watt);Power factor;Luminous flux uplight;Luminous flux downlight;UGR;Shielding angle C0;Shielding angle C90;Number of drivers
V3RB11M/N5M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;N;5;M;0;D;5;X1;0.962100681;0;4650;22;0.95;0;4650;19;60;65;1
V3RB11M/N5M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;N;5;M;0;D;5;X2;0.962100681;0;4650;22;0.95;0;4650;19;60;65;1
V3RB11M/N6M0D5X0;_LTRevAA;V3;R;B;1;1;M;/;N;6;M;0;D;5;X0;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
V3RB11M/N6M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;N;6;M;0;D;5;X1;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
V3RB11M/N6M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;N;6;M;0;D;5;X2;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
V3RB11M/W3M0D5X0;_LTRevAA;V3;R;B;1;1;M;/;W;3;M;0;D;5;X0;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB11M/W3M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;W;3;M;0;D;5;X1;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB11M/W3M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;W;3;M;0;D;5;X2;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB11M/W4M0D5X0;_LTRevAA;V3;R;B;1;1;M;/;W;4;M;0;D;5;X0;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB11M/W4M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;W;4;M;0;D;5;X1;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB11M/W4M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;W;4;M;0;D;5;X2;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB11M/W5M0D5X0;_LTRevAA;V3;R;B;1;1;M;/;W;5;M;0;D;5;X0;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB11M/W5M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;W;5;M;0;D;5;X1;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB11M/W5M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;W;5;M;0;D;5;X2;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB11M/W6M0D5X0;_LTRevAA;V3;R;B;1;1;M;/;W;6;M;0;D;5;X0;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB11M/W6M0D5X1;_LTRevAA;V3;R;B;1;1;M;/;W;6;M;0;D;5;X1;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB11M/W6M0D5X2;_LTRevAA;V3;R;B;1;1;M;/;W;6;M;0;D;5;X2;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB12C/N4M0D5X0;_LTRevAA;V3;R;B;1;2;C;/;N;4;M;0;D;5;X0;0.962100681;0;3750;34;0.93;0;3750;19;60;65;1
V3RB12C/N4M0D5X1;_LTRevAA;V3;R;B;1;2;C;/;N;4;M;0;D;5;X1;0.962100681;0;3750;34;0.93;0;3750;19;60;65;1
V3RB12C/N4M0D5X2;_LTRevAA;V3;R;B;1;2;C;/;N;4;M;0;D;5;X2;0.962100681;0;3750;34;0.93;0;3750;19;60;65;1
V3RB12C/N5M0D5X0;_LTRevAA;V3;R;B;1;2;C;/;N;5;M;0;D;5;X0;0.962100681;0;4650;40;0.95;0;4650;19;60;65;1
V3RB12C/N5M0D5X1;_LTRevAA;V3;R;B;1;2;C;/;N;5;M;0;D;5;X1;0.962100681;0;4650;40;0.95;0;4650;19;60;65;1
